name,mscf,yearmonth,year,month,x,y
OML 04,350648.428,2012-03,2012,03,5.968438975,6.041663716
OML 04,297934.9891,2012-04,2012,04,5.968438975,6.041663716
OML 04,466771.8189,2012-05,2012,05,5.968438975,6.041663716
OML 04,361105.969,2012-06,2012,06,5.968438975,6.041663716
OML 04,256025.3848,2012-07,2012,07,5.968438975,6.041663716
OML 04,364551.8687,2012-08,2012,08,5.968438975,6.041663716
OML 04,335253.6206,2012-09,2012,09,5.968438975,6.041663716
OML 04,548067.7626,2012-10,2012,10,5.968438975,6.041663716
OML 04,314972.0326,2012-11,2012,11,5.968438975,6.041663716
OML 04,351796.6409,2012-12,2012,12,5.968438975,6.041663716
OML 04,510675.5769,2013-01,2013,01,5.968438975,6.041663716
OML 04,429979.92,2013-02,2013,02,5.968438975,6.041663716
OML 04,333805.7106,2013-03,2013,03,5.968438975,6.041663716
OML 04,505398.0645,2013-04,2013,04,5.968438975,6.041663716
OML 04,784577.0677,2013-05,2013,05,5.968438975,6.041663716
OML 04,531069.3026,2013-06,2013,06,5.968438975,6.041663716
OML 04,235158.9279,2013-07,2013,07,5.968438975,6.041663716
OML 04,539521.3221,2013-08,2013,08,5.968438975,6.041663716
OML 04,639150.2823,2013-09,2013,09,5.968438975,6.041663716
OML 04,732154.1571,2013-10,2013,10,5.968438975,6.041663716
OML 04,697243.9557,2013-11,2013,11,5.968438975,6.041663716
OML 04,947403.3597,2013-12,2013,12,5.968438975,6.041663716
OML 04,619634.9948,2014-01,2014,01,5.968438975,6.041663716
OML 04,743914.7281,2014-02,2014,02,5.968438975,6.041663716
OML 04,537429.5457,2014-03,2014,03,5.968438975,6.041663716
OML 04,442944.188,2014-04,2014,04,5.968438975,6.041663716
OML 04,792327.0352,2014-05,2014,05,5.968438975,6.041663716
OML 04,597283.0802,2014-06,2014,06,5.968438975,6.041663716
OML 04,251016.7357,2014-07,2014,07,5.968438975,6.041663716
OML 04,713620.6403,2014-08,2014,08,5.968438975,6.041663716
OML 04,862163.0632,2014-09,2014,09,5.968438975,6.041663716
OML 04,991943.568,2014-10,2014,10,5.968438975,6.041663716
OML 04,690038.585,2014-11,2014,11,5.968438975,6.041663716
OML 04,1243893.544,2014-12,2014,12,5.968438975,6.041663716
OML 04,1394977.872,2015-01,2015,01,5.968438975,6.041663716
OML 04,490804.1414,2015-02,2015,02,5.968438975,6.041663716
OML 04,648462.6786,2015-03,2015,03,5.968438975,6.041663716
OML 04,608032.4843,2015-04,2015,04,5.968438975,6.041663716
OML 04,887604.7181,2015-05,2015,05,5.968438975,6.041663716
OML 04,231317.4764,2015-06,2015,06,5.968438975,6.041663716
OML 04,230325.9684,2015-07,2015,07,5.968438975,6.041663716
OML 04,410651.6597,2015-08,2015,08,5.968438975,6.041663716
OML 04,605759.615,2015-09,2015,09,5.968438975,6.041663716
OML 04,1275374.695,2015-10,2015,10,5.968438975,6.041663716
OML 04,1401762.625,2015-11,2015,11,5.968438975,6.041663716
OML 04,1648430.258,2015-12,2015,12,5.968438975,6.041663716
OML 04,834227.0941,2016-01,2016,01,5.968438975,6.041663716
OML 04,403361.5158,2016-02,2016,02,5.968438975,6.041663716
OML 04,214654.1875,2016-03,2016,03,5.968438975,6.041663716
OML 04,357414.1004,2016-04,2016,04,5.968438975,6.041663716
OML 04,280336.1058,2016-05,2016,05,5.968438975,6.041663716
OML 04,176014.0991,2016-06,2016,06,5.968438975,6.041663716
OML 04,386162.7237,2016-07,2016,07,5.968438975,6.041663716
