name,mscf,yearmonth,year,month,x,y
Abia,45930.30851,2012-12,2012,12,7.523189982,5.453302119
Abia,84314.11204,2013-01,2013,01,7.523189982,5.453302119
Abia,143347.833,2013-03,2013,03,7.523189982,5.453302119
Abia,112479.4672,2013-04,2013,04,7.523189982,5.453302119
Abia,180392.8209,2013-05,2013,05,7.523189982,5.453302119
Abia,91732.67199,2013-06,2013,06,7.523189982,5.453302119
Abia,144110.549,2013-07,2013,07,7.523189982,5.453302119
Abia,82479.0594,2013-08,2013,08,7.523189982,5.453302119
Abia,223898.9555,2013-10,2013,10,7.523189982,5.453302119
Abia,110383.7064,2013-11,2013,11,7.523189982,5.453302119
Abia,99562.219,2013-12,2013,12,7.523189982,5.453302119
Abia,99689.05989,2014-01,2014,01,7.523189982,5.453302119
Abia,57968.5015,2014-02,2014,02,7.523189982,5.453302119
Abia,112959.5195,2014-03,2014,03,7.523189982,5.453302119
Abia,110875.9729,2014-04,2014,04,7.523189982,5.453302119
Abia,63805.4677,2014-05,2014,05,7.523189982,5.453302119
Abia,102624.4453,2014-06,2014,06,7.523189982,5.453302119
Abia,51179.60774,2014-07,2014,07,7.523189982,5.453302119
Abia,43255.38087,2014-08,2014,08,7.523189982,5.453302119
Abia,128225.9791,2014-10,2014,10,7.523189982,5.453302119
Abia,58586.7958,2014-11,2014,11,7.523189982,5.453302119
Abia,89813.22091,2014-12,2014,12,7.523189982,5.453302119
Abia,51291.22326,2015-01,2015,01,7.523189982,5.453302119
Abia,50617.11525,2015-02,2015,02,7.523189982,5.453302119
Abia,36063.75339,2015-03,2015,03,7.523189982,5.453302119
Abia,55800.997,2015-04,2015,04,7.523189982,5.453302119
Abia,82079.51463,2015-05,2015,05,7.523189982,5.453302119
Abia,56366.78915,2015-10,2015,10,7.523189982,5.453302119
Abia,36754.19491,2015-11,2015,11,7.523189982,5.453302119
Abia,74744.99176,2016-01,2016,01,7.523189982,5.453302119
Abia,58140.54098,2016-02,2016,02,7.523189982,5.453302119
Abia,196372.6313,2017-10,2017,10,7.523189982,5.453302119
Abia,121973.4967,2017-11,2017,11,7.523189982,5.453302119
Abia,132632.6989,2017-12,2017,12,7.523189982,5.453302119
Abia,79411.09327,2018-01,2018,01,7.523189982,5.453302119
Abia,63142.94874,2018-02,2018,02,7.523189982,5.453302119
Abia,72650.02266,2018-03,2018,03,7.523189982,5.453302119
Abia,91975.45189,2018-04,2018,04,7.523189982,5.453302119
Abia,107644.996,2018-05,2018,05,7.523189982,5.453302119
Abia,107295.6495,2018-06,2018,06,7.523189982,5.453302119
Abia,71201.40683,2018-07,2018,07,7.523189982,5.453302119
Abia,74465.19558,2018-08,2018,08,7.523189982,5.453302119
Abia,53511.14369,2018-09,2018,09,7.523189982,5.453302119
Abia,158771.1201,2018-10,2018,10,7.523189982,5.453302119
Abia,91049.59765,2018-11,2018,11,7.523189982,5.453302119
Abia,109544.4276,2018-12,2018,12,7.523189982,5.453302119
Abia,102642.0217,2019-01,2019,01,7.523189982,5.453302119
Abia,99412.89655,2019-02,2019,02,7.523189982,5.453302119
Abia,95069.72165,2019-03,2019,03,7.523189982,5.453302119
Abia,197963.8009,2019-07,2019,07,7.523189982,5.453302119
Abia,160952.0779,2019-08,2019,08,7.523189982,5.453302119
Abia,84958.93061,2019-09,2019,09,7.523189982,5.453302119
Abia,124218.9878,2019-10,2019,10,7.523189982,5.453302119
Abia,41017.88525,2019-11,2019,11,7.523189982,5.453302119
Abia,54259.90737,2019-12,2019,12,7.523189982,5.453302119
Abia,56266.636,2020-01,2020,01,7.523189982,5.453302119
Abia,47862.56001,2020-02,2020,02,7.523189982,5.453302119
Abia,52820.12749,2020-03,2020,03,7.523189982,5.453302119
Abia,60664.71969,2020-04,2020,04,7.523189982,5.453302119
Abia,81412.68268,2020-05,2020,05,7.523189982,5.453302119
Abia,33190.67645,2020-06,2020,06,7.523189982,5.453302119
Abia,68768.28943,2020-07,2020,07,7.523189982,5.453302119
Abia,47497.12713,2020-08,2020,08,7.523189982,5.453302119
Abia,27268.37302,2020-10,2020,10,7.523189982,5.453302119
Abia,27992.77211,2020-11,2020,11,7.523189982,5.453302119
Abia,45060.82679,2020-12,2020,12,7.523189982,5.453302119
Abia,71083.41644,2021-01,2021,01,7.523189982,5.453302119
Abia,58070.1686,2021-02,2021,02,7.523189982,5.453302119
Abia,56107.76272,2021-03,2021,03,7.523189982,5.453302119
Abia,35904.98261,2021-04,2021,04,7.523189982,5.453302119
Abia,24495.00351,2021-05,2021,05,7.523189982,5.453302119
Abia,51385.62191,2021-06,2021,06,7.523189982,5.453302119
Abia,43437.50604,2021-07,2021,07,7.523189982,5.453302119
Abia,137799.4307,2023-01,2023,01,7.523189982,5.453302119
Abia,99406.57717,2023-02,2023,02,7.523189982,5.453302119
Abia,91950.71905,2023-03,2023,03,7.523189982,5.453302119
Abia,101231.1148,2023-04,2023,04,7.523189982,5.453302119
Abia,131494.5497,2023-05,2023,05,7.523189982,5.453302119
Abia,44651.36341,2023-09,2023,09,7.523189982,5.453302119
Abia,75838.26253,2023-10,2023,10,7.523189982,5.453302119
Akwa Ibom,222805.6481,2012-03,2012,03,7.847366246,4.906643135
Akwa Ibom,327331.8675,2012-04,2012,04,7.847366246,4.906643135
Akwa Ibom,335482.3638,2012-05,2012,05,7.847366246,4.906643135
Akwa Ibom,256719.1886,2012-06,2012,06,7.847366246,4.906643135
Akwa Ibom,427136.4331,2012-07,2012,07,7.847366246,4.906643135
Akwa Ibom,383913.4704,2012-08,2012,08,7.847366246,4.906643135
Akwa Ibom,322432.7338,2012-09,2012,09,7.847366246,4.906643135
Akwa Ibom,332529.8189,2012-10,2012,10,7.847366246,4.906643135
Akwa Ibom,387077.124,2012-11,2012,11,7.847366246,4.906643135
Akwa Ibom,719480.1685,2012-12,2012,12,7.847366246,4.906643135
