name,mscf,yearmonth,year,month,x,y
Ahoada East,31638.56325,2012-03,2012,03,6.638890083,5.056573106
Ahoada East,54179.96688,2012-04,2012,04,6.638890083,5.056573106
Ahoada East,218510.9672,2012-05,2012,05,6.638890083,5.056573106
Ahoada East,14807.83046,2012-09,2012,09,6.638890083,5.056573106
Ahoada East,257232.0293,2012-11,2012,11,6.638890083,5.056573106
Ahoada East,22210.27119,2013-01,2013,01,6.638890083,5.056573106
Ahoada East,37780.57714,2013-02,2013,02,6.638890083,5.056573106
Ahoada East,20890.93295,2013-03,2013,03,6.638890083,5.056573106
Ahoada East,43537.06688,2013-06,2013,06,6.638890083,5.056573106
Ahoada East,121113.8111,2013-08,2013,08,6.638890083,5.056573106
Ahoada East,14746.14865,2013-09,2013,09,6.638890083,5.056573106
Ahoada East,61503.12282,2013-12,2013,12,6.638890083,5.056573106
Ahoada East,86704.29202,2014-01,2014,01,6.638890083,5.056573106
Ahoada East,52364.4599,2014-02,2014,02,6.638890083,5.056573106
Ahoada East,103569.736,2014-03,2014,03,6.638890083,5.056573106
Ahoada East,117665.5457,2014-04,2014,04,6.638890083,5.056573106
Ahoada East,92706.47973,2014-05,2014,05,6.638890083,5.056573106
Ahoada East,68839.89269,2014-06,2014,06,6.638890083,5.056573106
Ahoada East,152819.411,2014-07,2014,07,6.638890083,5.056573106
Ahoada East,31044.91599,2014-08,2014,08,6.638890083,5.056573106
Ahoada East,39177.93932,2014-10,2014,10,6.638890083,5.056573106
Ahoada East,83712.73389,2014-11,2014,11,6.638890083,5.056573106
Ahoada East,24860.44187,2014-12,2014,12,6.638890083,5.056573106
Ahoada East,65876.91873,2015-10,2015,10,6.638890083,5.056573106
Ahoada East,12311.09112,2016-07,2016,07,6.638890083,5.056573106
Ahoada East,22256.5747,2016-10,2016,10,6.638890083,5.056573106
Ahoada East,39131.1309,2017-02,2017,02,6.638890083,5.056573106
Ahoada East,68974.17522,2017-03,2017,03,6.638890083,5.056573106
Ahoada East,37722.83883,2017-05,2017,05,6.638890083,5.056573106
Ahoada East,109634.4804,2017-07,2017,07,6.638890083,5.056573106
Ahoada East,26768.81264,2017-09,2017,09,6.638890083,5.056573106
Ahoada East,16146.35253,2018-01,2018,01,6.638890083,5.056573106
Ahoada East,78186.109,2018-07,2018,07,6.638890083,5.056573106
Ahoada East,32419.42343,2018-10,2018,10,6.638890083,5.056573106
Ahoada East,29633.23707,2018-11,2018,11,6.638890083,5.056573106
Ahoada East,31419.6264,2018-12,2018,12,6.638890083,5.056573106
Ahoada East,25105.65892,2019-01,2019,01,6.638890083,5.056573106
