name,mscf,year-month,year,month
Offshore,14032153.88,2012-03,2012,03
Offshore,14712814.48,2012-04,2012,04
Offshore,31116494.67,2012-05,2012,05
Offshore,20403970.71,2012-06,2012,06
Offshore,15706449.46,2012-07,2012,07
Offshore,16844629.39,2012-08,2012,08
Offshore,16735105.78,2012-09,2012,09
Offshore,23788680.53,2012-10,2012,10
Offshore,19659334.29,2012-11,2012,11
Offshore,21201230.64,2012-12,2012,12
Offshore,17568644.94,2013-01,2013,01
Offshore,17944389.95,2013-02,2013,02
Offshore,16857148.81,2013-03,2013,03
Offshore,21455151.82,2013-04,2013,04
Offshore,17239245.4,2013-05,2013,05
Offshore,21012791.1,2013-06,2013,06
Offshore,21239067.89,2013-07,2013,07
Offshore,16365074.39,2013-08,2013,08
Offshore,17585628.11,2013-09,2013,09
Offshore,18702604.15,2013-10,2013,10
Offshore,20264995.51,2013-11,2013,11
Offshore,30495812.32,2013-12,2013,12
Offshore,17946919.28,2014-01,2014,01
Offshore,15569154.4,2014-02,2014,02
Offshore,19575491.43,2014-03,2014,03
Offshore,19079353.23,2014-04,2014,04
Offshore,19227080.32,2014-05,2014,05
Offshore,16506331.35,2014-06,2014,06
Offshore,14583753.17,2014-07,2014,07
Offshore,14448372.43,2014-08,2014,08
Offshore,13345379.37,2014-09,2014,09
Offshore,17919541.35,2014-10,2014,10
Offshore,18216955.51,2014-11,2014,11
Offshore,18203602.04,2014-12,2014,12
Offshore,19991890.57,2015-01,2015,01
Offshore,15491094.12,2015-02,2015,02
Offshore,15898862.81,2015-03,2015,03
Offshore,14531793.4,2015-04,2015,04
Offshore,15490441.06,2015-05,2015,05
Offshore,12009922.54,2015-06,2015,06
Offshore,13832893.77,2015-07,2015,07
Offshore,12326572.16,2015-08,2015,08
Offshore,12298863.97,2015-09,2015,09
Offshore,18330940.67,2015-10,2015,10
Offshore,16066908.12,2015-11,2015,11
Offshore,14438873.27,2015-12,2015,12
Offshore,15909997.29,2016-01,2016,01
Offshore,13061046.28,2016-02,2016,02
Offshore,15284646.18,2016-03,2016,03
Offshore,18255831.88,2016-04,2016,04
Offshore,16368984.76,2016-05,2016,05
Offshore,13809217.16,2016-06,2016,06
Offshore,13802695.68,2016-07,2016,07
Offshore,11505410.81,2016-08,2016,08
Offshore,11546395.2,2016-09,2016,09
Offshore,17782406.75,2016-10,2016,10
Offshore,18473888.89,2016-11,2016,11
Offshore,15743335.38,2016-12,2016,12
Offshore,17336262.54,2017-01,2017,01
Offshore,12333240.69,2017-02,2017,02
Offshore,13407915.48,2017-03,2017,03
Offshore,12642460.99,2017-04,2017,04
Offshore,19235865.07,2017-05,2017,05
Offshore,11874141.43,2017-06,2017,06
Offshore,12971910.68,2017-07,2017,07
Offshore,13351650.74,2017-08,2017,08
Offshore,12278460.17,2017-09,2017,09
Offshore,15952395.6,2017-10,2017,10
Offshore,18920680.42,2017-11,2017,11
Offshore,21939443.68,2017-12,2017,12
Offshore,20058636.54,2018-01,2018,01
Offshore,16611581.9,2018-02,2018,02
Offshore,25768686.79,2018-03,2018,03
Offshore,16694733.39,2018-04,2018,04
